,testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops,variability
0,0,7.016533333333334e-05,6.6112e-05,7.3952e-05,6.709333333333334e-05,6.3648e-05,7.3888e-05,5.860266666666667e-05,5.7536e-05,6.016e-05,7288.178,6914.991,7735.016,7621.881,6920.981,8034.462,8726.18,8500.289,8887.956,0.04361702127659575
1,1,0.0002004586666666,0.000173024,0.000224512,0.000191392,0.000173024,0.000206944,0.0001711893333333,0.000166496,0.000173696,13605.529,12147.886,15762.82,14250.053,13179.151,15762.82,15931.753,15701.836,16380.851,0.04145173176123809
2,2,0.000232992,0.000188416,0.000260896,0.0002266666666666,0.000188224,0.000249472,0.0002040426666666,0.000188224,0.000226432,11705.75,10453.768,14475.13,12032.41,10932.474,14489.896,13366.548,12044.88,14489.896,0.16873940079140756
3,3,3.562666666666667e-05,3.2736e-05,3.808e-05,3.4624e-05,3.1904e-05,3.6096e-05,3.2032e-05,3.1872e-05,3.232e-05,8505.945,7957.943,9257.04,8752.266,8395.348,9498.447,9460.492,9376.19,9507.984,0.013861386138613853
4,4,0.000228544,0.000210208,0.000238592,0.0002284693333333,0.000210208,0.000238368,0.0002261973333333,0.000210208,0.000238368,11933.572,11431.004,12974.512,11937.472,11441.746,12974.512,12057.375,11441.746,12974.512,0.11813666263928044
5,5,4.3904e-05,4.1984e-05,4.5696e-05,4.120533333333334e-05,3.9392e-05,4.224e-05,3.8485333333333336e-05,3.6864e-05,3.936e-05,6902.297,6631.619,7217.951,7354.351,7174.206,7692.894,7874.129,7699.148,8220.444,0.06341463414634158
6,6,0.0002719146666666,0.000238528,0.000299456,0.000261152,0.000238528,0.000279168,0.000248224,0.000236704,0.000261184,10030.155,9107.669,11434.071,10443.52,9769.552,11434.071,10987.439,10442.241,11522.18,0.09372702768929198
7,7,4.8597333333333337e-05,4.7168e-05,5.136e-05,4.853333333333333e-05,4.704e-05,5.1296e-05,4.693333333333333e-05,4.6496e-05,4.7264e-05,6235.701,5900.282,6424.662,6243.924,5907.643,6442.144,6456.785,6411.613,6517.517,0.016249153689912057
8,8,0.000777248,0.000748416,0.000824224,0.0007184213333333,0.000695616,0.000731104,0.0007083733333333,0.000695616,0.000719296,14035.912,13235.946,14576.632,15185.218,14921.796,15683.056,15400.615,15166.753,15683.056,0.0329210783877569
9,9,0.0004159786666666,0.000278272,0.000495744,0.0004159786666666,0.000278272,0.000495744,0.0003275839999999,0.000278272,0.000419968,6556.457,5501.521,9801.008,6556.457,5501.521,9801.008,8325.639,6494.176,9801.008,0.33739713501981106
10,10,8.840533333333333e-05,7.824e-05,0.000107392,8.824533333333334e-05,7.824e-05,0.000107168,8.524800000000001e-05,7.824e-05,9.8848e-05,3427.83,2821.797,3873.191,3434.045,2827.695,3873.191,3554.787,3065.702,3873.191,0.20848170929103274
