testcase,mean,min,max,mean_gflops,min_gflops,max_gflops
0,1.7193333333333334e-05,1.712e-05,1.734e-05,13727.873,13611.759,13786.677
1,6.153333333333333e-06,6.08e-06,6.24e-06,4174.991,4117.005,4225.347
2,2.616333333333333e-05,2.608e-05,2.627e-05,8837.215,8801.333,8865.453
3,7.966666666666668e-06,7.9e-06,8.1e-06,12898.801,12686.475,13007.652
4,1.3653333333333334e-05,1.3630000000000002e-05,1.37e-05,3763.2,3750.381,3769.642
5,4.376666666666666e-05,4.371e-05,4.381e-05,5282.811,5277.585,5289.659
6,1.3133333333333334e-05,1.29e-05,1.341e-05,7824.4,7662.972,7965.926
7,1.5903333333333334e-05,1.584e-05,1.6e-05,3230.783,3211.264,3243.701
8,4.711666666666666e-05,4.701e-05,4.720000000000001e-05,4907.202,4898.538,4918.337
9,2.243e-05,2.23e-05,2.259e-05,4581.384,4548.935,4608.092
10,2.6080000000000004e-05,2.608e-05,2.608e-05,1970.101,1970.101,1970.101
11,8.136666666666666e-05,8.112000000000001e-05,8.154e-05,2841.594,2835.553,2850.234
12,2.3636666666666667e-05,2.355e-05,2.371e-05,4347.502,4334.055,4363.501
